timestamp,storeId,freezerId,temperatureC,humidityPct,doorOpen
2026-01-01T00:00:00Z,S-PAR-01,F-PAR-01,-20.7,42.6,0
2026-01-01T06:00:00Z,S-PAR-01,F-PAR-01,-19.4,42.7,0
2026-01-01T12:00:00Z,S-PAR-01,F-PAR-01,-20.2,47.1,0
2026-01-01T18:00:00Z,S-PAR-01,F-PAR-01,-19.1,46.7,0
2026-01-02T00:00:00Z,S-PAR-01,F-PAR-01,-20.9,51.0,0
2026-01-02T06:00:00Z,S-PAR-01,F-PAR-01,-19.2,38.4,0
2026-01-02T12:00:00Z,S-PAR-01,F-PAR-01,-19.8,49.3,0
2026-01-02T18:00:00Z,S-PAR-01,F-PAR-01,-19.4,45.1,0
2026-01-03T00:00:00Z,S-PAR-01,F-PAR-01,-20.3,41.0,0
2026-01-03T06:00:00Z,S-PAR-01,F-PAR-01,-19.3,38.5,0
2026-01-03T12:00:00Z,S-PAR-01,F-PAR-01,-19.5,43.3,0
2026-01-03T18:00:00Z,S-PAR-01,F-PAR-01,-20.8,39.1,0
2026-01-04T00:00:00Z,S-PAR-01,F-PAR-01,-20.6,45.0,0
2026-01-04T06:00:00Z,S-PAR-01,F-PAR-01,-19.9,45.7,0
2026-01-04T12:00:00Z,S-PAR-01,F-PAR-01,-20.2,48.3,0
2026-01-04T18:00:00Z,S-PAR-01,F-PAR-01,-19.9,38.7,0
2026-01-05T00:00:00Z,S-PAR-01,F-PAR-01,-20.0,44.2,0
2026-01-05T06:00:00Z,S-PAR-01,F-PAR-01,-20.5,49.7,0
2026-01-05T12:00:00Z,S-PAR-01,F-PAR-01,-20.4,41.4,0
2026-01-05T18:00:00Z,S-PAR-01,F-PAR-01,-19.5,43.1,0
2026-01-06T00:00:00Z,S-PAR-01,F-PAR-01,-19.5,39.6,0
2026-01-06T06:00:00Z,S-PAR-01,F-PAR-01,-20.5,48.3,0
2026-01-06T12:00:00Z,S-PAR-01,F-PAR-01,-19.2,43.1,0
2026-01-06T18:00:00Z,S-PAR-01,F-PAR-01,-20.0,50.8,0
2026-01-07T00:00:00Z,S-PAR-01,F-PAR-01,-19.8,44.3,0
2026-01-07T06:00:00Z,S-PAR-01,F-PAR-01,-20.2,46.0,0
2026-01-07T12:00:00Z,S-PAR-01,F-PAR-01,-19.3,39.8,0
2026-01-07T18:00:00Z,S-PAR-01,F-PAR-01,-19.4,43.7,0
2026-01-08T00:00:00Z,S-PAR-01,F-PAR-01,-20.7,41.6,0
2026-01-08T06:00:00Z,S-PAR-01,F-PAR-01,-20.4,42.4,0
2026-01-08T12:00:00Z,S-PAR-01,F-PAR-01,-20.8,43.9,0
2026-01-08T18:00:00Z,S-PAR-01,F-PAR-01,-19.8,46.9,0
2026-01-09T00:00:00Z,S-PAR-01,F-PAR-01,-19.2,50.3,0
2026-01-09T06:00:00Z,S-PAR-01,F-PAR-01,-21.0,39.7,0
2026-01-09T12:00:00Z,S-PAR-01,F-PAR-01,-20.5,45.8,0
2026-01-09T18:00:00Z,S-PAR-01,F-PAR-01,-19.5,39.8,1
2026-01-10T00:00:00Z,S-PAR-01,F-PAR-01,-20.1,47.7,0
2026-01-10T06:00:00Z,S-PAR-01,F-PAR-01,-19.0,39.9,0
2026-01-10T12:00:00Z,S-PAR-01,F-PAR-01,-19.3,50.9,0
2026-01-10T18:00:00Z,S-PAR-01,F-PAR-01,-20.3,43.6,0
2026-01-11T00:00:00Z,S-PAR-01,F-PAR-01,-19.6,39.7,0
2026-01-11T06:00:00Z,S-PAR-01,F-PAR-01,-19.2,50.6,0
2026-01-11T12:00:00Z,S-PAR-01,F-PAR-01,-19.8,46.6,0
2026-01-11T18:00:00Z,S-PAR-01,F-PAR-01,-20.9,48.3,0
2026-01-12T00:00:00Z,S-PAR-01,F-PAR-01,-20.1,43.7,0
2026-01-12T06:00:00Z,S-PAR-01,F-PAR-01,-20.1,49.7,0
2026-01-12T12:00:00Z,S-PAR-01,F-PAR-01,-20.4,44.7,0
2026-01-12T18:00:00Z,S-PAR-01,F-PAR-01,-20.6,48.7,0
2026-01-13T00:00:00Z,S-PAR-01,F-PAR-01,-19.1,39.2,0
2026-01-13T06:00:00Z,S-PAR-01,F-PAR-01,-19.2,46.3,0
2026-01-13T12:00:00Z,S-PAR-01,F-PAR-01,-20.3,47.1,0
2026-01-13T18:00:00Z,S-PAR-01,F-PAR-01,-20.1,45.1,0
2026-01-14T00:00:00Z,S-PAR-01,F-PAR-01,-20.0,69.2,1
2026-01-14T06:00:00Z,S-PAR-01,F-PAR-01,-12.0,56.5,1
2026-01-14T12:00:00Z,S-PAR-01,F-PAR-01,-20.0,59.5,1
2026-01-14T18:00:00Z,S-PAR-01,F-PAR-01,-20.3,45.9,0
2026-01-15T00:00:00Z,S-PAR-01,F-PAR-01,-19.8,49.8,0
2026-01-15T06:00:00Z,S-PAR-01,F-PAR-01,-20.1,42.5,0
2026-01-15T12:00:00Z,S-PAR-01,F-PAR-01,-20.4,40.5,0
2026-01-15T18:00:00Z,S-PAR-01,F-PAR-01,-19.4,48.3,0
2026-01-16T00:00:00Z,S-PAR-01,F-PAR-01,-20.6,45.3,0
2026-01-16T06:00:00Z,S-PAR-01,F-PAR-01,-19.8,46.6,0
2026-01-16T12:00:00Z,S-PAR-01,F-PAR-01,-20.8,42.0,1
2026-01-16T18:00:00Z,S-PAR-01,F-PAR-01,-20.5,44.1,0
2026-01-17T00:00:00Z,S-PAR-01,F-PAR-01,-20.4,50.8,0
2026-01-17T06:00:00Z,S-PAR-01,F-PAR-01,-19.0,48.5,0
2026-01-17T12:00:00Z,S-PAR-01,F-PAR-01,-19.2,47.3,0
2026-01-17T18:00:00Z,S-PAR-01,F-PAR-01,-20.6,49.7,0
2026-01-18T00:00:00Z,S-PAR-01,F-PAR-01,-20.9,50.6,0
2026-01-18T06:00:00Z,S-PAR-01,F-PAR-01,-19.1,45.6,0
2026-01-18T12:00:00Z,S-PAR-01,F-PAR-01,-19.4,38.1,0
2026-01-18T18:00:00Z,S-PAR-01,F-PAR-01,-20.9,40.8,0
2026-01-19T00:00:00Z,S-PAR-01,F-PAR-01,-19.9,48.2,0
2026-01-19T06:00:00Z,S-PAR-01,F-PAR-01,-20.0,49.6,0
2026-01-19T12:00:00Z,S-PAR-01,F-PAR-01,-20.4,39.5,0
2026-01-19T18:00:00Z,S-PAR-01,F-PAR-01,-19.3,44.2,0
2026-01-20T00:00:00Z,S-PAR-01,F-PAR-01,-20.5,50.1,0
2026-01-20T06:00:00Z,S-PAR-01,F-PAR-01,-19.0,48.2,0
2026-01-20T12:00:00Z,S-PAR-01,F-PAR-01,-20.8,43.0,1
2026-01-20T18:00:00Z,S-PAR-01,F-PAR-01,-19.4,48.2,0
2026-01-21T00:00:00Z,S-PAR-01,F-PAR-01,-20.0,41.9,0
2026-01-21T06:00:00Z,S-PAR-01,F-PAR-01,-19.7,45.2,0
2026-01-21T12:00:00Z,S-PAR-01,F-PAR-01,-19.4,47.9,0
2026-01-21T18:00:00Z,S-PAR-01,F-PAR-01,-19.2,44.1,0
2026-01-22T00:00:00Z,S-PAR-01,F-PAR-01,-19.4,42.4,0
2026-01-22T06:00:00Z,S-PAR-01,F-PAR-01,-19.3,47.3,0
2026-01-22T12:00:00Z,S-PAR-01,F-PAR-01,-19.2,38.5,0
2026-01-22T18:00:00Z,S-PAR-01,F-PAR-01,-21.0,39.9,0
2026-01-23T00:00:00Z,S-PAR-01,F-PAR-01,-19.1,47.4,0
2026-01-23T06:00:00Z,S-PAR-01,F-PAR-01,-20.5,40.1,0
2026-01-23T12:00:00Z,S-PAR-01,F-PAR-01,-19.4,48.3,0
2026-01-23T18:00:00Z,S-PAR-01,F-PAR-01,-20.6,50.3,0
2026-01-24T00:00:00Z,S-PAR-01,F-PAR-01,-19.3,48.5,0
2026-01-24T06:00:00Z,S-PAR-01,F-PAR-01,-21.0,38.9,0
2026-01-24T12:00:00Z,S-PAR-01,F-PAR-01,-19.9,40.9,0
2026-01-24T18:00:00Z,S-PAR-01,F-PAR-01,-20.2,41.7,0
2026-01-25T00:00:00Z,S-PAR-01,F-PAR-01,-19.8,46.9,0
2026-01-25T06:00:00Z,S-PAR-01,F-PAR-01,-20.0,47.2,0
2026-01-25T12:00:00Z,S-PAR-01,F-PAR-01,-20.6,42.2,0
